file,page_num,line_num,text,split_ws,split_we,lang,lang_score,perplex,categ
CTX201504033,1,8,2012,,,N/A,0,0,Non-text
CTX201504033,2,2,1,,,N/A,0,0,Non-text
CTX201504033,3,2,2,,,N/A,0,0,Non-text
CTX201504033,4,8,3,,,N/A,0,0,Non-text
CTX201504033,5,4,4,,,N/A,0,0,Non-text
CTX201504033,6,8,"Zaměření: JTSK: -823896.637,-1046622.571; -823890.578,-1046622.601; -823890.527,-1046622.831; -823896.366,-1046622.831; -823896.116,-1046629.401; -823896.336,-1046629.441",,,N/A,0,0,Non-text
CTX201504033,1,1,Nálezová zpráva o archeologickém dohledu,,,ces_Latn,1.0000,939.10,Clear
CTX201504033,1,2,Pláně XV,,,ces_Latn,1.0000,13533.90,Clear
CTX201504033,1,3,u Plas - přípojka kNN pro p.č. 12 mmgg. --,,,ces_Latn,0.9991,1149.50,Clear
CTX201504033,1,4,Archeologický dohled na stavbě v Pláních u Plas na parcelách 2030 a 1960/2,,,ces_Latn,0.9998,1602.78,Clear
CTX201504033,1,5,Muzeum a galerie severního Plzeňska Mariánská Týnice,,,ces_Latn,0.9997,699.32,Clear
CTX201504033,1,6,"Ved. Výzkumu, autor zpracování zprávy: Mgr. Daniel Stráník Kresebná dokumentace: Mgr. Daniel Stráník Uloženo: MG severního Plzeňska Mariánská Týnice dále: ARÚ Praha",,,ces_Latn,0.9972,231.25,Clear
CTX201504033,1,7,"NZ vyhotovena v Mariánské Týnici, duben 2012 číslo akce: AR 3/2012",,,ces_Latn,0.9663,693.74,Clear
CTX201504033,2,1,"Tato práce, která vznikla tvůrčím zpracováním výsledků archeologického výzkumu, je chráněna autorským právem podle zákona 247/90Sb. Ve smyslu tohoto zákona jsou chráněny i jednotlivé části této práce jako např. skici, náčrty, závěry apod. (§ 9 cit. zákona). Části práce nebo práce celou lze uveřejnit jen se svolením autorů.",,,ces_Latn,1.0000,160.03,Clear
CTX201504033,3,1,Obsah 1. Úvod  4 2. Lokalizace zájmového území  4 3. Historie lokality  4 4. Postup a metoda výzkumu  4 5. Popis nálezové situace  4 6. Závěr  4 7. Literatura  5 8. Obrazová příloha:  5 LIST ZÁCHRANNÉHO ARCHEOLOGICKÉHO VÝZKUMU  6 EXPERTNÍ LIST KE STAVBĚ  7,,,ces_Latn,0.9998,147.03,Clear
CTX201504033,4,1,1. Úvod Archeologický výzkum vyvolala výstavba přípojky kNN pro p.č. 12 na katastrálním území Pláně u Plas. Archeologický dohled byl zahájen dne 20.3.2012 a ke stejnému dni byl ukončen.,,,ces_Latn,1.0000,293.55,Clear
CTX201504033,4,2,"2. Lokalizace zájmového území Obec Pláně u Plas se nachází na okrese Plzeň-sever v Plzeňském kraji, 6 km severozápadně od Plaz.",,,ces_Latn,1.0000,561.94,Clear
