file,page_num,line_num,gold_categ,gold_source
CTX192400709,1,47,Noisy,issue30_508
CTX192500125,3,13,Noisy,issue30_508
CTX192500200,1,26,Trash,issue30_508
CTX192600298,1,6,Clear,issue30_508
CTX192600939,1,5,Noisy,issue30_508
CTX192601289,2,15,Trash,issue30_508
CTX192700082,1,1,Trash,issue30_508
CTX192700298,1,2,Clear,issue30_508
CTX192700584,12,2,Trash,issue30_508
CTX192700656,10,14,Clear,issue30_508
CTX192700799,5,33,Noisy,issue30_508
CTX192700894,2,3,Trash,issue30_508
CTX192800736,1,33,Noisy,issue30_508
CTX192801205,2,25,Trash,issue30_508
CTX192801205,2,56,Noisy,issue30_508
CTX192801375,1,64,Clear,issue30_508
CTX192801601,1,15,Trash,issue30_508
CTX192801607,3,31,Trash,issue30_508
CTX192801857,4,10,Noisy,issue30_508
CTX192900593,1,28,Clear,issue30_508
CTX192900633,6,8,Trash,issue30_508
CTX192901399,1,5,Clear,issue30_508
CTX192901424,1,55,Trash,issue30_508
CTX192901465,1,15,Clear,issue30_508
CTX192901547,4,30,Clear,issue30_508
CTX192901784,2,44,Noisy,issue30_508
CTX193001106,2,8,Trash,issue30_508
CTX193001573,1,31,Trash,issue30_508
CTX193100146,1,20,Noisy,issue30_508
CTX193200309,1,16,Trash,issue30_508
CTX193201748,2,6,Clear,issue30_508
CTX193201889,1,13,Trash,issue30_508
CTX193203011,1,10,Trash,issue30_508
CTX193301728,3,25,Clear,issue30_508
CTX193400165,1,20,Clear,issue30_508
CTX193400672,1,2,Trash,issue30_508
CTX193400735,1,41,Trash,issue30_508
CTX193501712,3,25,Trash,issue30_508
CTX193600298,12,5,Clear,issue30_508
CTX193600487,1,3,Trash,issue30_508
CTX193600857,15,40,Trash,issue30_508
CTX193601405,1,20,Noisy,issue30_508
CTX193601699A,6,28,Clear,issue30_508
CTX193601699A,12,45,Trash,issue30_508
CTX193601814,3,38,Noisy,issue30_508
CTX193602263,2,74,Clear,issue30_508
CTX193701938,1,5,Trash,issue30_508
CTX193701984,1,24,Clear,issue30_508
CTX193702477,54,10,Noisy,issue30_508
CTX193702492,1,26,Clear,issue30_508
CTX193800480A,5,30,Clear,issue30_508
CTX193801636,109,18,Trash,issue30_508
CTX193900184A,2,33,Noisy,issue30_508
CTX193902613,1,9,Trash,issue30_508
CTX193903510,1,4,Clear,issue30_508
CTX193903674,5,18,Noisy,issue30_508
CTX193903691,1,8,Trash,issue30_508
CTX194004518,1,3,Clear,issue30_508
CTX194004557,1,1,Clear,issue30_508
CTX194004924,1,1,Trash,issue30_508
CTX194102093,1,6,Noisy,issue30_508
CTX194105091,1,1,Trash,issue30_508
CTX194105995,1,21,Trash,issue30_508
CTX194500099,108,84,Clear,issue30_508
CTX194500590,6,3,Noisy,issue30_508
CTX194500657,96,19,Trash,issue30_508
CTX194502871,1,28,Clear,issue30_508
