file,page_num,Clear,Empty,Noisy,Non-text,Trash,total_word_count,total_char_count,avg_quality_score,avg_word_weird,avg_lang_score,avg_perplex,avg_symbol,avg_vowel_ratio,avg_rot_ratio,ch_ratio,main_lang
CTX193001369,1,3,3,2,2,1,18,100,0.73986,0.04266,0.8436999999999999,1243.42,0.2,0.38826,0.46044,0.2,ces
CTX193001369,2,26,3,3,2,1,272,1609,0.893696551724138,0.014744827586206898,0.9208965517241379,376.5562068965517,0.20689655172413793,0.3606068965517241,0.5181793103448276,0.034482758620689655,ces
CTX193001369,3,27,1,2,5,2,268,1571,0.8956241379310345,0.012293103448275864,0.9592448275862069,435.46275862068967,0.3103448275862069,0.364,0.5086793103448276,0.0,ces
CTX193001369,4,20,0,8,4,5,234,1544,0.8453428571428571,0.028492857142857146,0.9277214285714285,692.3796428571429,0.25,0.3869285714285714,0.49815714285714285,0.0,ces
CTX193001369,5,31,1,7,4,1,258,1598,0.8487289473684211,0.013936842105263159,0.9137868421052632,537.3347368421053,0.15789473684210525,0.35467105263157894,0.5313921052631579,0.0,ces
CTX193001369,6,28,1,2,2,4,282,1808,0.8916766666666667,0.013716666666666667,0.9315333333333334,458.40833333333336,0.3,0.35536666666666666,0.51783,0.0,ces
CTX193001369,7,29,3,4,2,2,332,1900,0.8699606060606061,0.00814848484848485,0.9296181818181818,576.4093939393939,0.21212121212121213,0.3408060606060606,0.526430303030303,0.0,ces
CTX193001369,8,13,3,2,1,4,153,895,0.8389399999999999,0.016766666666666666,0.9485333333333333,578.9466666666667,0.26666666666666666,0.3596933333333333,0.5168533333333333,0.0,ces
CTX193001369,10,0,1,0,2,0,0,0,,,,,,,,,
CTX193001369,11,1,3,1,2,2,4,32,0.6685,0.25835,0.75,1685.02,0.5,0.34845,0.21514999999999998,0.0,ces
CTX193001369,12,2,2,0,2,0,13,69,0.7323,0.09375,0.7874,1910.235,1.0,0.404,0.49495,0.0,ces
CTX193001369,13,0,1,0,1,2,0,0,,,,,,,,,
CTX193001369,14,0,1,1,0,2,3,20,0.4991,0.0,0.75,557.79,0.0,0.4375,0.625,0.0,ces
CTX193001369,15,5,8,4,6,3,29,154,0.7108111111111112,0.08990000000000001,0.7937555555555555,1343.2433333333333,0.3333333333333333,0.33746666666666664,0.29102222222222224,0.0,ces
CTX193001369,16,1,7,4,3,3,12,56,0.61756,0.06999999999999999,0.79704,3512.666,0.2,0.43942,0.5048,0.4,ces
CTX193001369,17,3,3,0,5,0,8,59,0.8576,0.04,0.75,1785.9966666666667,0.3333333333333333,0.3111,0.4861,0.0,ces
CTX193001369,18,1,2,1,3,1,2,18,0.7434499999999999,0.0,0.84695,1534.715,0.0,0.35,0.55,0.0,ces
CTX193001369,19,2,2,0,2,1,7,22,0.77715,0.1729,0.9221,474.86,0.5,0.38885000000000003,0.5,0.0,ces
CTX193001369,20,0,2,0,2,2,0,0,,,,,,,,,
CTX193001369,21,2,3,2,3,0,6,79,0.71495,0.22082500000000002,0.8122,2203.625,0.25,0.320675,0.47802500000000003,0.0,ces
CTX193001369,22,1,1,0,0,1,3,16,0.743,0.0,0.75,398.1,0.0,0.6667,0.0,0.0,ces
CTX193001369,23,1,4,1,5,2,2,21,0.66035,0.30000000000000004,0.875,883.04,0.5,0.275,0.45,0.0,ces
CTX193001369,24,0,4,0,8,3,0,0,,,,,,,,,
CTX193001369,25,3,3,0,4,1,5,20,0.8160333333333334,0.03333333333333333,0.9038666666666666,850.5366666666667,0.0,0.4555666666666667,0.3277666666666667,0.0,ces
CTX193001369,26,4,3,1,3,2,9,46,0.75634,0.02,0.8881599999999998,1850.646,0.0,0.24684,0.48334,0.0,ces
CTX193001369,27,1,6,1,9,3,4,28,0.69425,0.2,0.79715,5791.32,0.5,0.35895,0.3205,0.0,ces
CTX193001369,28,3,4,2,4,0,10,59,0.70972,0.01,0.79618,1716.8120000000004,0.0,0.4,0.3125,0.0,ces
