file,page_num,Clear,Trash,Noisy,Empty,Non-text,total_word_count,total_char_count,avg_word_count,avg_char_count,avg_garbage_density,avg_lang_score,avg_perplex,avg_symbol,avg_upper,avg_repeated,avg_ldl_fuses,avg_gibberish,avg_word_weird,avg_quality_score,main_lang
CTX192700799,3,23,1,2,4,2,223,1305,8.5769,50.1923,0.0046,0.9556,1138.3296,0.0385,0.0,0.0,0.0,0.0,0.0,0.8112,ces_Latn
CTX193100253,45,13,0,0,0,0,136,824,10.4615,63.3846,0.0058,0.9919,487.3092,0.0769,0.0769,0.0,0.0,0.0,0.0006,0.8416,ces_Latn
CTX193202278,10,36,6,8,53,95,188,1089,3.76,21.78,0.0117,0.9033,8091.1624,0.0,0.0,0.0,0.0,0.0,0.0,0.7704,ces_Latn
CTX193401762,8,1,15,9,1,4,201,1036,8.04,41.44,0.1056,0.3314,1740.7704,1.92,0.36,0.0,0.32,0.24,0.1068,0.5144,ces_Latn
CTX193600857,32,25,0,13,1,3,381,2153,10.0263,56.6579,0.0351,0.7376,581.4295,0.0789,0.0526,0.0,0.0,0.0263,0.0036,0.7253,ces_Latn
CTX193702477,81,1,3,4,1,1,32,115,4.0,14.375,0.0362,0.7414,3977.5638,0.25,0.25,0.0,0.125,0.125,0.0621,0.4632,ces_Latn
CTX193801636,108,28,0,2,1,0,234,1450,7.8,48.3333,0.002,0.9983,572.9833,0.0,0.0,0.0,0.0,0.0333,0.0,0.8013,ces_Latn
CTX194000026,1,0,0,0,0,1,0,0,,,,,,,,,,,,,unknown
CTX194003457,1,0,1,0,0,0,3,8,3.0,8.0,0.125,0.721,5692.75,1.0,0.0,0.0,0.0,0.0,0.0,0.4038,plt_Latn
CTX194005766,4,9,2,2,2,0,109,692,8.3846,53.2308,0.0242,0.8883,5204.2362,0.1538,0.0,0.0,0.0,0.0,0.0308,0.754,ces_Latn
CTX194103269,1,0,6,3,3,4,35,191,3.8889,21.2222,0.0653,0.6327,4415.1967,0.5556,0.1111,0.0,0.1111,0.3333,0.0209,0.6352,ces_Latn
CTX194105865,1,6,3,5,13,3,28,126,2.0,9.0,0.0272,0.8226,3443.8493,0.0,0.0,0.0,0.0,0.0714,0.0,0.712,ces_Latn
CTX194202078,1,11,3,5,16,3,42,238,2.2105,12.5263,0.0053,0.8004,2812.7658,0.0,0.0,0.0,0.0,0.1053,0.0,0.7938,ces_Latn
CTX194301371,1,9,2,8,10,0,37,211,1.9474,11.1053,0.0132,0.7395,2646.4516,0.0,0.0526,0.0,0.0,0.0526,0.0,0.7589,ces_Latn
CTX194500607,4,8,0,1,11,17,35,257,3.8889,28.5556,0.0395,0.9271,869.6378,0.2222,0.0,0.0,0.0,0.0,0.0,0.8251,deu_Latn
CTX194502247,1,18,3,6,13,1,73,419,2.7037,15.5185,0.001,0.874,2736.7656,0.037,0.0,0.0,0.0,0.037,0.0,0.7555,ces_Latn
CTX194600079,1,19,3,10,14,3,104,616,3.25,19.25,0.0009,0.8715,1717.4388,0.0,0.0,0.0,0.0,0.0312,0.0,0.7558,ces_Latn
CTX194601392,1,21,4,3,15,3,110,637,3.9286,22.75,0.0201,0.8362,1911.0807,0.0,0.0,0.0,0.0,0.0,0.0,0.7693,ces_Latn
CTX194603858,5,44,1,7,0,0,489,3262,9.4038,62.7308,0.0082,0.9199,1281.6738,0.0385,0.0385,0.0,0.0,0.0577,0.0019,0.8551,deu_Latn
CTX194604284,4,27,25,23,45,32,221,1410,2.9467,18.8,0.0241,0.7512,72729.4627,0.0533,0.0,0.0,0.0,0.0,0.0053,0.7072,deu_Latn
CTX194604320B,47,2,1,4,4,1,19,115,2.7143,16.4286,0.0222,0.6725,2151.0771,0.0,0.0,0.0,0.0,0.0,0.0,0.6945,deu_Latn
CTX194605560,4,23,3,6,8,2,205,1220,6.4062,38.125,0.024,0.8254,1491.7381,0.0,0.0312,0.0,0.0,0.0625,0.0,0.7679,ces_Latn
CTX194606617,1,12,5,3,15,4,41,215,2.05,10.75,0.0183,0.8783,4195.9875,0.05,0.05,0.0,0.0,0.05,0.0,0.7229,ces_Latn
CTX194704664,1,6,16,8,6,9,120,597,4.0,19.9,0.0713,0.666,7714.458,0.4667,0.2667,0.0,0.1333,0.0333,0.0304,0.582,ces_Latn
CTX194707457,7,3,1,2,1,0,31,224,5.1667,37.3333,0.0135,0.5961,833.7633,0.0,0.0,0.0,0.0,0.1667,0.0,0.8191,deu_Latn
CTX194802671,3,2,2,4,4,0,9,92,1.125,11.5,0.0227,0.6222,2562.965,0.0,0.0,0.0,0.0,0.0,0.0,0.8105,deu_Latn
CTX194805355,1,6,4,7,14,3,38,191,2.2353,11.2353,0.0218,0.7674,18618.8241,0.0588,0.0,0.0,0.0,0.1765,0.0,0.7131,ces_Latn
CTX194901377,1,0,0,0,1,2,0,0,,,,,,,,,,,,,unknown
CTX194902898,1,10,1,6,9,5,33,168,1.9412,9.8824,0.0092,0.828,1342.3229,0.0,0.0,0.0,0.1176,0.0588,0.0088,0.7236,ces_Latn
CTX195000423,1,8,4,8,10,1,50,286,2.5,14.3,0.0264,0.8475,6221.533,0.0,0.0,0.0,0.0,0.15,0.0,0.6831,ces_Latn
