level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2480	3508	-1
2	1	1	0	0	0	10	10	900	400	-1
3	1	1	1	0	0	10	10	900	400	-1
4	1	1	1	1	0	10	10	900	40	-1
5	1	1	1	1	1	10	10	40	30	91.5	Nálezová
5	1	1	1	1	2	20	10	40	30	91.5	zpráva
5	1	1	1	1	3	30	10	40	30	91.5	—
5	1	1	1	1	4	40	10	40	30	91.5	Hradiště
5	1	1	1	1	5	50	10	40	30	91.5	u
5	1	1	1	1	6	60	10	40	30	91.5	Horní
5	1	1	1	1	7	70	10	40	30	91.5	Mezí
4	1	1	1	2	0	10	20	900	40	-1
5	1	1	1	2	1	10	20	40	30	91.5	Sonda
5	1	1	1	2	2	20	20	40	30	91.5	IV
5	1	1	1	2	3	30	20	40	30	91.5	byla
5	1	1	1	2	4	40	20	40	30	91.5	vytyčena
5	1	1	1	2	5	50	20	40	30	91.5	v
5	1	1	1	2	6	60	20	40	30	91.5	září
5	1	1	1	2	7	70	20	40	30	91.5	2024.
4	1	1	1	3	0	10	30	900	40	-1
5	1	1	1	3	1	10	30	40	30	91.5	Vrstva
5	1	1	1	3	2	20	30	40	30	91.5	103:
5	1	1	1	3	3	30	30	40	30	91.5	hn3dá
5	1	1	1	3	4	40	30	40	30	91.5	hlin1tá,
5	1	1	1	3	5	50	30	40	30	91.5	m0cnost
5	1	1	1	3	6	60	30	40	30	91.5	25
5	1	1	1	3	7	70	30	40	30	91.5	cm
1	2	0	0	0	0	0	0	2480	3508	-1
2	2	1	0	0	0	10	10	900	400	-1
3	2	1	1	0	0	10	10	900	400	-1
4	2	1	1	1	0	10	10	900	40	-1
5	2	1	1	1	1	10	10	40	30	91.5	Zpracovala
5	2	1	1	1	2	20	10	40	30	91.5	Eva
5	2	1	1	1	3	30	10	40	30	91.5	Procházková.
4	2	1	1	2	0	10	20	900	40	-1
5	2	1	1	2	1	10	20	40	30	91.5	|||
5	2	1	1	2	2	20	20	40	30	91.5	~~
5	2	1	1	2	3	30	20	40	30	91.5	1l1
